compound	Species	V1	Var	Mean	VarShare
C00431	4416396	0	428286034448.003	152193.798256538	0
C00431	4416434	0	428286034448.003	152193.798256538	0
C00431	4416927	0	428286034448.003	152193.798256538	0
C00431	4417539	0	428286034448.003	152193.798256538	0
C00431	4418586	0	428286034448.003	152193.798256538	0
C00431	4420206	0	428286034448.003	152193.798256538	0
C00431	4420272	0	428286034448.003	152193.798256538	0
C00431	4421933	0	428286034448.003	152193.798256538	0
C00431	4424239	0	428286034448.003	152193.798256538	0
C00431	4424327	0	428286034448.003	152193.798256538	0
C00431	4425571	0	428286034448.003	152193.798256538	0
C00431	4426877	0	428286034448.003	152193.798256538	0
C00431	4428313	0	428286034448.003	152193.798256538	0
C00431	4430498	0	428286034448.003	152193.798256538	0
C00431	4432234	0	428286034448.003	152193.798256538	0
C00431	4432238	0	428286034448.003	152193.798256538	0
C00431	4432841	0	428286034448.003	152193.798256538	0
C00431	4433947	0	428286034448.003	152193.798256538	0
C00431	4435934	0	428286034448.003	152193.798256538	0
C00431	443620	0	428286034448.003	152193.798256538	0
C00431	4437875	0	428286034448.003	152193.798256538	0
C00431	4439360	0	428286034448.003	152193.798256538	0
C00431	4440360	0	428286034448.003	152193.798256538	0
C00431	4440624	0	428286034448.003	152193.798256538	0
C00431	4440970	0	428286034448.003	152193.798256538	0
C00431	4442899	0	428286034448.003	152193.798256538	0
C00431	4443094	0	428286034448.003	152193.798256538	0
C00431	4444771	0	428286034448.003	152193.798256538	0
C00431	4446898	0	428286034448.003	152193.798256538	0
C00431	4447176	0	428286034448.003	152193.798256538	0
C00431	4448052	0	428286034448.003	152193.798256538	0
C00431	4449236	0	428286034448.003	152193.798256538	0
C00431	4449518	0	428286034448.003	152193.798256538	0
C00431	4449524	0	428286034448.003	152193.798256538	0
C00431	4449526	0	428286034448.003	152193.798256538	0
C00431	4449633	107071508612.001	428286034448.003	152193.798256538	0.25
C00431	4449851	0	428286034448.003	152193.798256538	0
C00431	4449984	0	428286034448.003	152193.798256538	0
C00431	4451901	107071508612.001	428286034448.003	152193.798256538	0.25
C00431	4452613	0	428286034448.003	152193.798256538	0
C00431	4453627	0	428286034448.003	152193.798256538	0
C00431	4453723	0	428286034448.003	152193.798256538	0
C00431	4454025	0	428286034448.003	152193.798256538	0
C00431	4455677	0	428286034448.003	152193.798256538	0
C00431	4456605	0	428286034448.003	152193.798256538	0
C00431	4459184	0	428286034448.003	152193.798256538	0
C00431	4460560	0	428286034448.003	152193.798256538	0
C00431	4460604	0	428286034448.003	152193.798256538	0
