SimRun	TimePoint	Species	Code	value
19	577	EcoliAGORA	Ec	0.03823571
20	577	EcoliAGORA	Ec	0.03817136
21	577	EcoliAGORA	Ec	0.03745588
22	577	EcoliAGORA	Ec	0.03673873
23	577	EcoliAGORA	Ec	0.03624824
24	577	EcoliAGORA	Ec	0.03561977
25	577	EcoliAGORA	Ec	0.03513244
26	577	EcoliAGORA	Ec	0.03744195
27	577	EcoliAGORA	Ec	0.03633799
28	577	EcoliAGORA	Ec	0.0351827
29	577	EcoliAGORA	Ec	0.03437067
30	577	EcoliAGORA	Ec	0.03327366
31	577	EcoliAGORA	Ec	0.03237034
32	577	EcoliAGORA	Ec	0.03931546
33	577	EcoliAGORA	Ec	0.0393652
34	577	EcoliAGORA	Ec	0.03946771
35	577	EcoliAGORA	Ec	0.03956021
36	577	EcoliAGORA	Ec	0.03974494
37	577	EcoliAGORA	Ec	0.03996241
38	577	EcoliAGORA	Ec	0.04320883
39	577	EcoliAGORA	Ec	0.04571798
40	577	EcoliAGORA	Ec	0.04825545
41	577	EcoliAGORA	Ec	0.05002062
42	577	EcoliAGORA	Ec	0.0523886
43	577	EcoliAGORA	Ec	0.05434501
44	577	EcoliAGORA	Ec	0.03947637
45	577	EcoliAGORA	Ec	0.03991209
46	577	EcoliAGORA	Ec	0.04058177
47	577	EcoliAGORA	Ec	0.04116615
48	577	EcoliAGORA	Ec	0.04212367
49	577	EcoliAGORA	Ec	0.04305847
50	577	EcoliAGORA	Ec	0.03821939
51	577	EcoliAGORA	Ec	0.03787284
52	577	EcoliAGORA	Ec	0.03772683
53	577	EcoliAGORA	Ec	0.03771749
54	577	EcoliAGORA	Ec	0.03779431
55	577	EcoliAGORA	Ec	0.03792056
56	577	EcoliAGORA	Ec	0.03910972
57	577	EcoliAGORA	Ec	0.03901188
58	577	EcoliAGORA	Ec	0.03893288
59	577	EcoliAGORA	Ec	0.03888718
60	577	EcoliAGORA	Ec	0.03886665
61	577	EcoliAGORA	Ec	0.03889237
1	577	ErectaleAGORA	Er	0.09761352
2	577	ErectaleAGORA	Er	0.1347124
3	577	ErectaleAGORA	Er	0.1560258
4	577	ErectaleAGORA	Er	0.1758081
5	577	ErectaleAGORA	Er	0.1885115
6	577	ErectaleAGORA	Er	0.2035165
7	577	ErectaleAGORA	Er	0.215036
8	577	ErectaleAGORA	Er	0.09946473
9	577	ErectaleAGORA	Er	0.1010963
10	577	ErectaleAGORA	Er	0.103237
11	577	ErectaleAGORA	Er	0.1051083
12	577	ErectaleAGORA	Er	0.1082626
13	577	ErectaleAGORA	Er	0.1116508
14	577	ErectaleAGORA	Er	0.09741551
15	577	ErectaleAGORA	Er	0.09745485
16	577	ErectaleAGORA	Er	0.09762286
17	577	ErectaleAGORA	Er	0.09780392
18	577	ErectaleAGORA	Er	0.09812107
19	577	ErectaleAGORA	Er	0.09851015
20	577	ErectaleAGORA	Er	0.09705072
21	577	ErectaleAGORA	Er	0.09673154
22	577	ErectaleAGORA	Er	0.09645466
23	577	ErectaleAGORA	Er	0.09629646
24	577	ErectaleAGORA	Er	0.09619944
25	577	ErectaleAGORA	Er	0.09627552
26	577	ErectaleAGORA	Er	0.09721998
27	577	ErectaleAGORA	Er	0.09699541
28	577	ErectaleAGORA	Er	0.09680003
29	577	ErectaleAGORA	Er	0.09671807
30	577	ErectaleAGORA	Er	0.09668312
31	577	ErectaleAGORA	Er	0.09655901
32	577	ErectaleAGORA	Er	0.09514051
33	577	ErectaleAGORA	Er	0.09337766
34	577	ErectaleAGORA	Er	0.09142466
35	577	ErectaleAGORA	Er	0.09003933
36	577	ErectaleAGORA	Er	0.08810835
37	577	ErectaleAGORA	Er	0.086513
38	577	ErectaleAGORA	Er	0.09758739
39	577	ErectaleAGORA	Er	0.09762857
40	577	ErectaleAGORA	Er	0.09773169
41	577	ErectaleAGORA	Er	0.09785526
42	577	ErectaleAGORA	Er	0.09814757
43	577	ErectaleAGORA	Er	0.09856954
44	577	ErectaleAGORA	Er	0.07866062
45	577	ErectaleAGORA	Er	0.06679505
46	577	ErectaleAGORA	Er	0.05516333
47	577	ErectaleAGORA	Er	0.04739798
48	577	ErectaleAGORA	Er	0.03751842
49	577	ErectaleAGORA	Er	0.0298427
50	577	ErectaleAGORA	Er	0.07907175
