ModelAGORA	Organism	CopyNum
Dyadobacter_fermentans_DSM_18053	Dyadobacter fermentans DSM 18053	4
Dysgonomonas_gadei_ATCC_BAA_286	Dysgonomonas gadei ATCC BAA-286	5
Edwardsiella_tarda_ATCC_23685	Edwardsiella tarda ATCC 23685	2
Edwardsiella_tarda_FL6_60	Edwardsiella tarda FL6-60	8
Eggerthella_lenta_DSM_2243	Eggerthella lenta DSM 2243	3
Eggerthella_sp_1_3_56FAA	Eggerthella sp. 1_3_56FAA	1
Eggerthella_sp_YY7918	Eggerthella sp. YY7918	2
Eggerthia_catenaformis_OT_569	Eggerthia catenaformis OT 569 = DSM 20559	8
Eikenella_corrodens_ATCC_23834	Eikenella corrodens ATCC 23834	1
Enterobacter_aerogenes_KCTC_2190	Enterobacter aerogenes KCTC 2190	8
Enterobacter_asburiae_LF7a	Enterobacter asburiae LF7a	7
Enterobacter_cancerogenus_ATCC_35316	Enterobacter cancerogenus ATCC 35316	5
